timestamp,packet_length,protocol,src_port,dst_port
1768563404.3979845,136,17,0,0
1768563404.446461,135,17,0,0
1768563404.461625,342,17,0,0
1768563404.6213117,136,17,0,0
1768563404.6444936,169,17,0,0
1768563404.647975,92,17,0,0
1768563404.6494088,143,17,0,0
1768563404.6524227,167,17,0,0
1768563404.6570783,240,17,0,0
1768563404.6610122,167,17,0,0
1768563404.6742778,169,17,0,0
1768563404.700996,75,17,0,0
1768563404.70939,169,17,0,0
1768563404.737613,82,17,0,0
1768563404.7394588,143,17,0,0
1768563404.7420082,82,17,0,0
1768563404.7716618,86,17,0,0
1768563404.7870152,82,17,0,0
1768563404.8153305,577,17,0,0
1768563404.8173776,169,17,0,0
1768563404.8386939,167,17,0,0
1768563404.8455865,136,17,0,0
1768563404.889093,122,17,0,0
1768563404.9019463,169,17,0,0
1768563404.9072535,167,17,0,0
1768563404.9095843,342,17,0,0
1768563404.9126616,364,17,0,0
1768563404.9390278,278,17,0,0
1768563404.9460557,93,17,0,0
1768563404.9528372,169,17,0,0
1768563404.9554439,86,17,0,0
1768563404.9596741,84,17,0,0
1768563404.962197,179,17,0,0
1768563404.963802,77,17,0,0
1768563405.0515957,361,17,0,0
1768563405.062911,60,2,0,0
1768563405.0712948,60,2,0,0
1768563405.0804374,212,17,0,0
1768563405.0914006,166,17,0,0
1768563405.0983987,166,17,0,0
1768563405.1021206,167,17,0,0
1768563405.1037445,82,17,0,0
1768563405.1070614,105,17,0,0
1768563405.1191156,484,17,0,0
1768563405.1295278,60,2,0,0
1768563405.236369,70,2,0,0
1768563405.2516646,60,2,0,0
1768563405.2561738,93,17,0,0
1768563405.259566,136,17,0,0
1768563405.2618005,60,2,0,0
1768563405.2663333,152,17,0,0
1768563405.2677631,152,17,0,0
1768563405.2776153,276,17,0,0
